pre_proCodigoProvincia,pre_depCodigoDepartamento,pre_munCodigoMunicipio,preMesasTotales,preMesasEscrutadas,prePorcenMesasEscrutadas,preVotosValidos,prePorcenVotosValidos,preVotosPositivos,prePorcenVotosPositivos,preVotosEnBlanco,prePorcenVotosEnBlanco,preVotosNulos,prePorcenVotosNulos,preVotosRecurridos,prePorcenVotosRecurridos,preElectores,preTotalVotantes,prePTotalVotantes,preParticipacion,preCandidatos,preParticipEscrutado,prePorcParticipEscrutado,OT_Codigo,OT_Votos,OT_PVotos
"01","001","999",520,519,9.98099976e+01,127951,9.84700012e+01,125595,9.66600037e+01,2356,1.80999994e+00,1893,1.46000004e+00,91,7.00000003e-02,179292,129935,7.24700012e+01,,,,7.26100006e+01,"9997",0,0.00000000e+00
"01","002","999",421,421,1.00000000e+02,109511,9.88199997e+01,107535,9.70400009e+01,1976,1.77999997e+00,1284,1.15999997e+00,25,1.99999996e-02,145810,110820,7.60000000e+01,,,,7.60000000e+01,"9997",0,0.00000000e+00
"01","003","999",474,473,9.97900009e+01,120961,9.80699997e+01,118306,9.59199982e+01,2655,2.15000010e+00,2321,1.88000000e+00,57,5.00000007e-02,163967,123339,7.52200012e+01,,,,7.53799973e+01,"9997",0,0.00000000e+00
"01","004","999",518,516,9.96100006e+01,137707,9.82699966e+01,135371,9.66100006e+01,2336,1.66999996e+00,2346,1.66999996e+00,73,5.00000007e-02,178789,140126,7.83799973e+01,,,,7.86800003e+01,"9997",0,0.00000000e+00
"01","005","999",458,458,1.00000000e+02,123863,9.80999985e+01,120829,9.56900024e+01,3034,2.40000010e+00,2334,1.85000002e+00,70,5.99999987e-02,158836,126267,7.95000000e+01,,,,7.95000000e+01,"9997",0,0.00000000e+00
"01","006","999",463,463,1.00000000e+02,128735,9.81699982e+01,125285,9.55400009e+01,3450,2.63000011e+00,2359,1.79999995e+00,41,2.99999993e-02,161249,131135,8.13199997e+01,,,,8.13199997e+01,"9997",0,0.00000000e+00
"01","007","999",502,501,9.98000031e+01,135517,9.80699997e+01,132425,9.58300018e+01,3092,2.24000001e+00,2553,1.85000002e+00,119,7.99999982e-02,174159,138189,7.93499985e+01,,,,7.95000000e+01,"9997",0,0.00000000e+00
"01","008","999",395,394,9.97500000e+01,108452,9.84300003e+01,106839,9.69700012e+01,1613,1.46000004e+00,1651,1.50000000e+00,75,7.00000003e-02,137805,110178,7.99499969e+01,,,,8.01600037e+01,"9997",0,0.00000000e+00
"01","009","999",425,424,9.97600021e+01,117840,9.82600021e+01,115426,9.62500000e+01,2414,2.00999999e+00,2017,1.67999995e+00,72,5.99999987e-02,147154,119929,8.15000000e+01,,,,8.16900024e+01,"9997",0,0.00000000e+00
"01","010","999",432,432,1.00000000e+02,119432,9.80000000e+01,116561,9.56399994e+01,2871,2.35999990e+00,2342,1.91999996e+00,99,7.99999982e-02,149400,121873,8.15699997e+01,,,,8.15699997e+01,"9997",0,0.00000000e+00
