sub_votproCodigoProvincia,vot_depCodigoDepartamento,vot_munCodigoMunicipio,vot_codFormula,vot_parCodigo,votVotosPartido,votPorcenVotos
"01","001","999","0131","0131",46149,3.67400017e+01
"01","001","999","0135","0135",79446,6.32599983e+01
"01","002","999","0131","0131",21998,2.04599991e+01
"01","002","999","0135","0135",85537,7.95400009e+01
"01","003","999","0131","0131",46782,3.95400009e+01
"01","003","999","0135","0135",71524,6.04599991e+01
"01","004","999","0131","0131",60715,4.48499985e+01
"01","004","999","0135","0135",74656,5.51500015e+01
"01","005","999","0131","0131",47595,3.93899994e+01
"01","005","999","0135","0135",73234,6.06100006e+01
"01","006","999","0131","0131",41730,3.33100014e+01
"01","006","999","0135","0135",83555,6.66900024e+01
"01","007","999","0131","0131",51208,3.86699982e+01
"01","007","999","0135","0135",81217,6.13300018e+01
"01","008","999","0131","0131",52247,4.89000015e+01
"01","008","999","0135","0135",54592,5.10999985e+01
"01","009","999","0131","0131",46649,4.04099998e+01
"01","009","999","0135","0135",68777,5.95900002e+01
"01","010","999","0131","0131",42908,3.68100014e+01
"01","010","999","0135","0135",73653,6.31899986e+01
"01","011","999","0131","0131",45869,3.39799995e+01
"01","011","999","0135","0135",89121,6.60199966e+01
"01","012","999","0131","0131",48664,3.29900017e+01
"01","012","999","0135","0135",98838,6.70100021e+01
"01","013","999","0131","0131",40180,2.40799999e+01
"01","013","999","0135","0135",126657,7.59199982e+01
"01","014","999","0131","0131",39912,2.52500000e+01
"01","014","999","0135","0135",118182,7.47500000e+01
"01","015","999","0131","0131",49748,3.95299988e+01
"01","015","999","0135","0135",76110,6.04700012e+01
"01","999","999","0131","0131",682354,3.52200012e+01
"01","999","999","0135","0135",1255099,6.47799988e+01
"02","001","999","0131","0131",3908,3.54000015e+01
"02","001","999","0135","0135",7132,6.45999985e+01
"02","002","999","0131","0131",3354,4.42799988e+01
"02","002","999","0135","0135",4221,5.57200012e+01
"02","003","999","0131","0131",202868,6.02799988e+01
"02","003","999","0135","0135",133647,3.97200012e+01
"02","004","999","0131","0131",114096,5.21300011e+01
"02","004","999","0135","0135",104775,4.78699989e+01
"02","005","999","0131","0131",5838,4.33199997e+01
"02","005","999","0135","0135",7639,5.66800003e+01
"02","006","999","0131","0131",18493,4.29099998e+01
"02","006","999","0135","0135",24608,5.70900002e+01
"02","007","999","0131","0131",63842,3.51699982e+01
"02","007","999","0135","0135",117692,6.48300018e+01
"02","008","999","0131","0131",10208,3.37200012e+01
"02","008","999","0135","0135",20068,6.62799988e+01
"02","009","999","0131","0131",11312,5.17799988e+01
"02","009","999","0135","0135",10535,4.82200012e+01
"02","010","999","0131","0131",8598,4.37599983e+01
"02","010","999","0135","0135",11050,5.62400017e+01
"02","011","999","0131","0131",117545,5.86899986e+01
"02","011","999","0135","0135",82728,4.13100014e+01
"02","012","999","0131","0131",29874,4.93300018e+01
"02","012","999","0135","0135",30688,5.06699982e+01
"02","013","999","0131","0131",9445,4.08400002e+01
"02","013","999","0135","0135",13684,5.91599998e+01
"02","014","999","0131","0131",12121,4.32500000e+01
"02","014","999","0135","0135",15903,5.67500000e+01
"02","015","999","0131","0131",7664,4.32400017e+01
"02","015","999","0135","0135",10062,5.67599983e+01
"02","016","999","0131","0131",27843,4.64700012e+01
"02","016","999","0135","0135",32071,5.35299988e+01
"02","017","999","0131","0131",17194,5.33100014e+01
"02","017","999","0135","0135",15058,4.66899986e+01
"02","018","999","0131","0131",3968,4.09199982e+01
"02","018","999","0135","0135",5729,5.90800018e+01
"02","019","999","0131","0131",5636,3.81300011e+01
"02","019","999","0135","0135",9145,6.18699989e+01
